"insurer_nm","claim_id","claim_create_dt","current_status","current_substatus","invoice_date","outlet_nm","outlet_type","outlet_city","outlet_province","claim_vehicle_year","claim_vehicle_make","claim_vehicle_model","event_status","event_substatus","first_time_in_status","total_hrs_in_status"
"SANTAM",620889,"2018-01-02 07:38:40.44","Invoiced","ClaimMovedToInvoiced","2018-01-11","Pretoria","Branch"," Pretoria"," 0182",2012,"PEUGEOT","HATCH 5DR (2007/Current)","Open","UnsuccessfulFitmentChangingPartsToMatch","2018-01-04 15:48:46.477","16.561"
"SANTAM",620889,"2018-01-02 07:38:40.44","Invoiced","ClaimMovedToInvoiced","2018-01-11","Pretoria","Branch"," Pretoria"," 0182",2012,"PEUGEOT","HATCH 5DR (2007/Current)","Booked","Post-Booked","2018-01-09 12:23:39.803","6.857"
"SANTAM",620889,"2018-01-02 07:38:40.44","Invoiced","ClaimMovedToInvoiced","2018-01-11","Pretoria","Branch"," Pretoria"," 0182",2012,"PEUGEOT","HATCH 5DR (2007/Current)","Completed","ClaimMovedToCompleted","2018-01-10 10:15:04.84","0.059"
"SANTAM",620889,"2018-01-02 07:38:40.44","Invoiced","ClaimMovedToInvoiced","2018-01-11","Pretoria","Branch"," Pretoria"," 0182",2012,"PEUGEOT","HATCH 5DR (2007/Current)","Booked","Fitment Completed","2018-01-10 10:18:38.84","14.638"
"SANTAM",620889,"2018-01-02 07:38:40.44","Invoiced","ClaimMovedToInvoiced","2018-01-11","Pretoria","Branch"," Pretoria"," 0182",2012,"PEUGEOT","HATCH 5DR (2007/Current)","Invoiced","ClaimMovedToInvoiced","2018-01-11 15:56:53.613","2215"
"SANTAM",620890,"2018-01-02 07:36:56.3","Invoiced","ClaimMovedToInvoiced","2018-01-05","Pretoria","Branch"," Pretoria"," 0182",2005,"FORD","PICK UP (2000/2007)","M & F","MnFClaimCreated","2018-01-02 07:36:56.613","0.524"
"SANTAM",620890,"2018-01-02 07:36:56.3","Invoiced","ClaimMovedToInvoiced","2018-01-05","Pretoria","Branch"," Pretoria"," 0182",2005,"FORD","PICK UP (2000/2007)","Open","Claim Not accepted","2018-01-02 08:31:26.213","1.679"
"SANTAM",620890,"2018-01-02 07:36:56.3","Invoiced","ClaimMovedToInvoiced","2018-01-05","Pretoria","Branch"," Pretoria"," 0182",2005,"FORD","PICK UP (2000/2007)","Open","Claim Accepted","2018-01-02 10:12:10.443","0.008"
"SANTAM",620890,"2018-01-02 07:36:56.3","Invoiced","ClaimMovedToInvoiced","2018-01-05","Pretoria","Branch"," Pretoria"," 0182",2005,"FORD","PICK UP (2000/2007)","Open","LeftSMS Or Voicemail","2018-01-02 10:12:38.317","0.061"
"SANTAM",620890,"2018-01-02 07:36:56.3","Invoiced","ClaimMovedToInvoiced","2018-01-05","Pretoria","Branch"," Pretoria"," 0182",2005,"FORD","PICK UP (2000/2007)","Open","Communicated With Client","2018-01-02 10:16:18.443","13.853"
"SANTAM",620890,"2018-01-02 07:36:56.3","Invoiced","ClaimMovedToInvoiced","2018-01-05","Pretoria","Branch"," Pretoria"," 0182",2005,"FORD","PICK UP (2000/2007)","Booked","Pre-Booked","2018-01-03 15:07:30.773","7.874"
"SANTAM",620890,"2018-01-02 07:36:56.3","Invoiced","ClaimMovedToInvoiced","2018-01-05","Pretoria","Branch"," Pretoria"," 0182",2005,"FORD","PICK UP (2000/2007)","Booked","Post-Booked","2018-01-04 14:00:00","3.649"
"SANTAM",620890,"2018-01-02 07:36:56.3","Invoiced","ClaimMovedToInvoiced","2018-01-05","Pretoria","Branch"," Pretoria"," 0182",2005,"FORD","PICK UP (2000/2007)","Booked","Fitment Completed","2018-01-05 08:38:59.593","0.003"
"SANTAM",620890,"2018-01-02 07:36:56.3","Invoiced","ClaimMovedToInvoiced","2018-01-05","Pretoria","Branch"," Pretoria"," 0182",2005,"FORD","PICK UP (2000/2007)","Completed","ClaimMovedToCompleted","2018-01-05 08:39:12.483","23.032"
"SANTAM",620890,"2018-01-02 07:36:56.3","Invoiced","ClaimMovedToInvoiced","2018-01-05","Pretoria","Branch"," Pretoria"," 0182",2005,"FORD","PICK UP (2000/2007)","Invoiced","ClaimMovedToInvoiced","2018-01-09 08:41:08.717","2240"
"SANTAM",620891,"2018-01-02 07:44:37.69","Invoiced","ClaimMovedToInvoiced","2018-01-03","Nelspruit","Branch"," Nelspruit"," 1211",2008,"OPEL","GAMMA UTILITY (1997/2010)","M & F","MnFClaimCreated","2018-01-02 07:44:37.877","0.313"
"SANTAM",620891,"2018-01-02 07:44:37.69","Invoiced","ClaimMovedToInvoiced","2018-01-03","Nelspruit","Branch"," Nelspruit"," 1211",2008,"OPEL","GAMMA UTILITY (1997/2010)","M & F","IncorectVehicleReAuthClaim","2018-01-02 08:18:47.837","0.007"
"SANTAM",620891,"2018-01-02 07:44:37.69","Invoiced","ClaimMovedToInvoiced","2018-01-03","Nelspruit","Branch"," Nelspruit"," 1211",2008,"OPEL","GAMMA UTILITY (1997/2010)","M & F","AlternativeSupplierToCancelClaim","2018-01-02 08:19:12.227","0.075"
"SANTAM",620891,"2018-01-02 07:44:37.69","Invoiced","ClaimMovedToInvoiced","2018-01-03","Nelspruit","Branch"," Nelspruit"," 1211",2008,"OPEL","GAMMA UTILITY (1997/2010)","Open","Claim Not accepted","2018-01-02 08:23:43.787","0.038"
"SANTAM",620891,"2018-01-02 07:44:37.69","Invoiced","ClaimMovedToInvoiced","2018-01-03","Nelspruit","Branch"," Nelspruit"," 1211",2008,"OPEL","GAMMA UTILITY (1997/2010)","Open","Claim Accepted","2018-01-02 08:26:01.04","0.292"
"SANTAM",620891,"2018-01-02 07:44:37.69","Invoiced","ClaimMovedToInvoiced","2018-01-03","Nelspruit","Branch"," Nelspruit"," 1211",2008,"OPEL","GAMMA UTILITY (1997/2010)","Booked","Pre-Booked","2018-01-02 08:43:34.183","1.274"
"SANTAM",620891,"2018-01-02 07:44:37.69","Invoiced","ClaimMovedToInvoiced","2018-01-03","Nelspruit","Branch"," Nelspruit"," 1211",2008,"OPEL","GAMMA UTILITY (1997/2010)","Booked","Post-Booked","2018-01-02 10:00:00","5.383"
"SANTAM",620891,"2018-01-02 07:44:37.69","Invoiced","ClaimMovedToInvoiced","2018-01-03","Nelspruit","Branch"," Nelspruit"," 1211",2008,"OPEL","GAMMA UTILITY (1997/2010)","Booked","Fitment Completed","2018-01-02 15:18:40.853","0.001"
"SANTAM",620891,"2018-01-02 07:44:37.69","Invoiced","ClaimMovedToInvoiced","2018-01-03","Nelspruit","Branch"," Nelspruit"," 1211",2008,"OPEL","GAMMA UTILITY (1997/2010)","Completed","ClaimMovedToCompleted","2018-01-02 15:23:04.32","8.502"
"SANTAM",620891,"2018-01-02 07:44:37.69","Invoiced","ClaimMovedToInvoiced","2018-01-03","Nelspruit","Branch"," Nelspruit"," 1211",2008,"OPEL","GAMMA UTILITY (1997/2010)","Invoiced","ClaimMovedToInvoiced","2018-01-03 14:53:10.273","2275"
"SANTAM",620892,"2018-01-02 07:46:37.05","Invoiced","ClaimMovedToInvoiced","2018-01-03","Bloemfontein","Branch","Bloemfontein","Free State",2011,"VOLKSWAGEN","HATCH 5Dr (2010/2018)","M & F","MnFClaimCreated","2018-01-02 07:46:37.127","0.079"
"SANTAM",620892,"2018-01-02 07:46:37.05","Invoiced","ClaimMovedToInvoiced","2018-01-03","Bloemfontein","Branch","Bloemfontein","Free State",2011,"VOLKSWAGEN","HATCH 5Dr (2010/2018)","M & F","AlternativeSupplierToCancelClaim","2018-01-02 08:04:44.96","0.251"
"SANTAM",620892,"2018-01-02 07:46:37.05","Invoiced","ClaimMovedToInvoiced","2018-01-03","Bloemfontein","Branch","Bloemfontein","Free State",2011,"VOLKSWAGEN","HATCH 5Dr (2010/2018)","Open","Claim Not accepted","2018-01-02 08:19:48.227","0.086"
"SANTAM",620892,"2018-01-02 07:46:37.05","Invoiced","ClaimMovedToInvoiced","2018-01-03","Bloemfontein","Branch","Bloemfontein","Free State",2011,"VOLKSWAGEN","HATCH 5Dr (2010/2018)","Open","Claim Accepted","2018-01-02 08:24:58.087","0.158"
"SANTAM",620892,"2018-01-02 07:46:37.05","Invoiced","ClaimMovedToInvoiced","2018-01-03","Bloemfontein","Branch","Bloemfontein","Free State",2011,"VOLKSWAGEN","HATCH 5Dr (2010/2018)","Open","Communicated With Client","2018-01-02 08:34:28.913","1.483"
"SANTAM",620892,"2018-01-02 07:46:37.05","Invoiced","ClaimMovedToInvoiced","2018-01-03","Bloemfontein","Branch","Bloemfontein","Free State",2011,"VOLKSWAGEN","HATCH 5Dr (2010/2018)","Open","LeftSMS Or Voicemail","2018-01-02 08:34:29.587","0.086"
"SANTAM",620892,"2018-01-02 07:46:37.05","Invoiced","ClaimMovedToInvoiced","2018-01-03","Bloemfontein","Branch","Bloemfontein","Free State",2011,"VOLKSWAGEN","HATCH 5Dr (2010/2018)","Booked","Pre-Booked","2018-01-02 10:08:39.317","1.856"
"SANTAM",620892,"2018-01-02 07:46:37.05","Invoiced","ClaimMovedToInvoiced","2018-01-03","Bloemfontein","Branch","Bloemfontein","Free State",2011,"VOLKSWAGEN","HATCH 5Dr (2010/2018)","Booked","Post-Booked","2018-01-02 12:00:00","2.186"
"SANTAM",620892,"2018-01-02 07:46:37.05","Invoiced","ClaimMovedToInvoiced","2018-01-03","Bloemfontein","Branch","Bloemfontein","Free State",2011,"VOLKSWAGEN","HATCH 5Dr (2010/2018)","Booked","Fitment Completed","2018-01-02 14:11:09.44","0.006"
"SANTAM",620892,"2018-01-02 07:46:37.05","Invoiced","ClaimMovedToInvoiced","2018-01-03","Bloemfontein","Branch","Bloemfontein","Free State",2011,"VOLKSWAGEN","HATCH 5Dr (2010/2018)","Completed","ClaimMovedToCompleted","2018-01-02 14:11:31.13","9.493"
"SANTAM",620892,"2018-01-02 07:46:37.05","Invoiced","ClaimMovedToInvoiced","2018-01-03","Bloemfontein","Branch","Bloemfontein","Free State",2011,"VOLKSWAGEN","HATCH 5Dr (2010/2018)","Invoiced","ClaimMovedToInvoiced","2018-01-03 14:41:05.937","2275"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","M & F","MnFClaimCreated","2018-01-02 07:48:55.05","0.232"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","Open","Claim Not accepted","2018-01-02 08:13:57.867","3.189"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","OnHold","Non stock item and referred to an alternate supplier","2018-01-02 08:20:50.383","0.095"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","Open","Claim Accepted","2018-01-02 09:03:12.31","0.11"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","Open","Claim Accepted To Contact Client","2018-01-02 09:09:48.17","3.15"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","Open","LeftSMS Or Voicemail","2018-01-02 12:18:48.377","13.439"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","Open","Communicated With Client","2018-01-03 16:45:08.907","5.720"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","Unauthorised","Authorisation requested","2018-01-04 10:34:25.377","2.158"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","Booked","Pre-Booked","2018-01-05 09:05:45.783","51.904"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","Booked","Post-Booked","2018-01-12 11:00:00","9.425"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","Booked","Fitment Completed","2018-01-13 11:25:19.32","0.004"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","Completed","ClaimMovedToCompleted","2018-01-13 11:25:44.697","10.571"
"SANTAM",620893,"2018-01-02 07:48:54.973","Invoiced","ClaimMovedToInvoiced","2018-01-16","Durban","Branch","Durban","KwaZulu-Natal",2016,"HONDA","5DR HATCH","Invoiced","ClaimMovedToInvoiced","2018-01-16 07:20:51.69","2191"
"OLD MUTUAL INSURE",620894,"2018-01-02 08:03:13.693","Invoiced","ClaimMovedToInvoiced","2018-01-12","Rustenburg","Franchise","Rustenburg","North West",2013,"TOYOTA","SEDAN 4DR (2007/2013)","M & F","Authorisation requested","2018-01-02 08:03:14.113","10.050"
"OLD MUTUAL INSURE",620894,"2018-01-02 08:03:13.693","Invoiced","ClaimMovedToInvoiced","2018-01-12","Rustenburg","Franchise","Rustenburg","North West",2013,"TOYOTA","SEDAN 4DR (2007/2013)","Open","Claim Not accepted","2018-01-03 09:06:13.367","3.045"
"OLD MUTUAL INSURE",620894,"2018-01-02 08:03:13.693","Invoiced","ClaimMovedToInvoiced","2018-01-12","Rustenburg","Franchise","Rustenburg","North West",2013,"TOYOTA","SEDAN 4DR (2007/2013)","Open","Communicated With Client","2018-01-03 12:08:56.017","27.778"
"OLD MUTUAL INSURE",620894,"2018-01-02 08:03:13.693","Invoiced","ClaimMovedToInvoiced","2018-01-12","Rustenburg","Franchise","Rustenburg","North West",2013,"TOYOTA","SEDAN 4DR (2007/2013)","Open","LeftSMS Or Voicemail","2018-01-03 12:08:56.847","0.058"
"OLD MUTUAL INSURE",620894,"2018-01-02 08:03:13.693","Invoiced","ClaimMovedToInvoiced","2018-01-12","Rustenburg","Franchise","Rustenburg","North West",2013,"TOYOTA","SEDAN 4DR (2007/2013)","Open","Claim Accepted","2018-01-03 12:12:27.577","0.014"
"OLD MUTUAL INSURE",620894,"2018-01-02 08:03:13.693","Invoiced","ClaimMovedToInvoiced","2018-01-12","Rustenburg","Franchise","Rustenburg","North West",2013,"TOYOTA","SEDAN 4DR (2007/2013)","Booked","Post-Booked","2018-01-08 08:00:00","30.189"
"OLD MUTUAL INSURE",620894,"2018-01-02 08:03:13.693","Invoiced","ClaimMovedToInvoiced","2018-01-12","Rustenburg","Franchise","Rustenburg","North West",2013,"TOYOTA","SEDAN 4DR (2007/2013)","Booked","Pre-Booked","2018-01-08 15:13:35.427","2.422"
"OLD MUTUAL INSURE",620894,"2018-01-02 08:03:13.693","Invoiced","ClaimMovedToInvoiced","2018-01-12","Rustenburg","Franchise","Rustenburg","North West",2013,"TOYOTA","SEDAN 4DR (2007/2013)","Completed","ClaimMovedToCompleted","2018-01-11 13:36:41.513","9.949"
"OLD MUTUAL INSURE",620894,"2018-01-02 08:03:13.693","Invoiced","ClaimMovedToInvoiced","2018-01-12","Rustenburg","Franchise","Rustenburg","North West",2013,"TOYOTA","SEDAN 4DR (2007/2013)","Invoiced","ClaimMovedToInvoiced","2018-01-12 14:33:36.587","2207"
"SANTAM",620895,"2018-01-02 08:14:38.49","Invoiced","ClaimMovedToInvoiced","2018-01-03","Cape Town","Branch","Cape Town","Western Cape",2011,"TOYOTA","SEDAN 4DR (2007/2013)","M & F","MnFClaimCreated","2018-01-02 08:14:38.567","0.128"
"SANTAM",620895,"2018-01-02 08:14:38.49","Invoiced","ClaimMovedToInvoiced","2018-01-03","Cape Town","Branch","Cape Town","Western Cape",2011,"TOYOTA","SEDAN 4DR (2007/2013)","Open","Claim Not accepted","2018-01-02 08:22:18.32","0.623"
"SANTAM",620895,"2018-01-02 08:14:38.49","Invoiced","ClaimMovedToInvoiced","2018-01-03","Cape Town","Branch","Cape Town","Western Cape",2011,"TOYOTA","SEDAN 4DR (2007/2013)","Open","Claim Accepted","2018-01-02 08:59:40.917","0.879"
"SANTAM",620895,"2018-01-02 08:14:38.49","Invoiced","ClaimMovedToInvoiced","2018-01-03","Cape Town","Branch","Cape Town","Western Cape",2011,"TOYOTA","SEDAN 4DR (2007/2013)","Open","Communicated With Client","2018-01-02 09:52:26.347","0.170"
"SANTAM",620895,"2018-01-02 08:14:38.49","Invoiced","ClaimMovedToInvoiced","2018-01-03","Cape Town","Branch","Cape Town","Western Cape",2011,"TOYOTA","SEDAN 4DR (2007/2013)","Open","LeftSMS Or Voicemail","2018-01-02 09:52:28.797","2.559"
"SANTAM",620895,"2018-01-02 08:14:38.49","Invoiced","ClaimMovedToInvoiced","2018-01-03","Cape Town","Branch","Cape Town","Western Cape",2011,"TOYOTA","SEDAN 4DR (2007/2013)","Booked","Pre-Booked","2018-01-02 12:36:10.867","0.897"
"SANTAM",620895,"2018-01-02 08:14:38.49","Invoiced","ClaimMovedToInvoiced","2018-01-03","Cape Town","Branch","Cape Town","Western Cape",2011,"TOYOTA","SEDAN 4DR (2007/2013)","Booked","Post-Booked","2018-01-02 13:30:00","3.500"
"SANTAM",620895,"2018-01-02 08:14:38.49","Invoiced","ClaimMovedToInvoiced","2018-01-03","Cape Town","Branch","Cape Town","Western Cape",2011,"TOYOTA","SEDAN 4DR (2007/2013)","Booked","Fitment Completed","2018-01-03 06:36:21.01","0"
"SANTAM",620895,"2018-01-02 08:14:38.49","Invoiced","ClaimMovedToInvoiced","2018-01-03","Cape Town","Branch","Cape Town","Western Cape",2011,"TOYOTA","SEDAN 4DR (2007/2013)","Completed","ClaimMovedToCompleted","2018-01-03 06:40:11.057","6.685"
"SANTAM",620895,"2018-01-02 08:14:38.49","Invoiced","ClaimMovedToInvoiced","2018-01-03","Cape Town","Branch","Cape Town","Western Cape",2011,"TOYOTA","SEDAN 4DR (2007/2013)","Invoiced","ClaimMovedToInvoiced","2018-01-03 14:41:06.173","2275"
"SANTAM",620896,"2018-01-02 08:14:56.087","Invoiced","ClaimMovedToInvoiced","2018-01-09","Paarl","Franchise","Paarl","Western Cape",0,"HYUNDAI","HATCH 5 DR (2008/2013)","M & F","MnFClaimCreated","2018-01-02 08:14:56.227","0.248"
"SANTAM",620896,"2018-01-02 08:14:56.087","Invoiced","ClaimMovedToInvoiced","2018-01-09","Paarl","Franchise","Paarl","Western Cape",0,"HYUNDAI","HATCH 5 DR (2008/2013)","Open","Claim Not accepted","2018-01-02 08:29:48.68","0.026"
"SANTAM",620896,"2018-01-02 08:14:56.087","Invoiced","ClaimMovedToInvoiced","2018-01-09","Paarl","Franchise","Paarl","Western Cape",0,"HYUNDAI","HATCH 5 DR (2008/2013)","Open","No Communication Necessary","2018-01-02 08:31:24.54","0.536"
"SANTAM",620896,"2018-01-02 08:14:56.087","Invoiced","ClaimMovedToInvoiced","2018-01-09","Paarl","Franchise","Paarl","Western Cape",0,"HYUNDAI","HATCH 5 DR (2008/2013)","Open","Claim Accepted","2018-01-02 09:03:35.233","0.026"
"SANTAM",620896,"2018-01-02 08:14:56.087","Invoiced","ClaimMovedToInvoiced","2018-01-09","Paarl","Franchise","Paarl","Western Cape",0,"HYUNDAI","HATCH 5 DR (2008/2013)","Open","Claim Accepted To Contact Client","2018-01-02 09:05:08.047","11.557"
"SANTAM",620896,"2018-01-02 08:14:56.087","Invoiced","ClaimMovedToInvoiced","2018-01-09","Paarl","Franchise","Paarl","Western Cape",0,"HYUNDAI","HATCH 5 DR (2008/2013)","Booked","Pre-Booked","2018-01-03 11:38:34.543","7.357"
"SANTAM",620896,"2018-01-02 08:14:56.087","Invoiced","ClaimMovedToInvoiced","2018-01-09","Paarl","Franchise","Paarl","Western Cape",0,"HYUNDAI","HATCH 5 DR (2008/2013)","Booked","Post-Booked","2018-01-04 10:00:00","9.089"
"SANTAM",620896,"2018-01-02 08:14:56.087","Invoiced","ClaimMovedToInvoiced","2018-01-09","Paarl","Franchise","Paarl","Western Cape",0,"HYUNDAI","HATCH 5 DR (2008/2013)","Open","UnsuccessfulFitmentChangingPartsToMatch","2018-01-05 10:05:21.183","0.007"
"SANTAM",620896,"2018-01-02 08:14:56.087","Invoiced","ClaimMovedToInvoiced","2018-01-09","Paarl","Franchise","Paarl","Western Cape",0,"HYUNDAI","HATCH 5 DR (2008/2013)","Booked","ClaimRescheduled","2018-01-05 10:05:46.23","1.042"
"SANTAM",620896,"2018-01-02 08:14:56.087","Invoiced","ClaimMovedToInvoiced","2018-01-09","Paarl","Franchise","Paarl","Western Cape",0,"HYUNDAI","HATCH 5 DR (2008/2013)","Completed","ClaimMovedToCompleted","2018-01-05 11:08:16.58","21.956"
"SANTAM",620896,"2018-01-02 08:14:56.087","Invoiced","ClaimMovedToInvoiced","2018-01-09","Paarl","Franchise","Paarl","Western Cape",0,"HYUNDAI","HATCH 5 DR (2008/2013)","Invoiced","ClaimMovedToInvoiced","2018-01-09 10:05:38.077","2238"
"SANTAM",620897,"2018-01-02 08:16:55.587","Invoiced","ClaimMovedToInvoiced","2018-01-05","Centurion","Franchise","Pretoria","Gauteng",2006,"AUDI","AVANTI STATIONWAGON 5DR (2005/2008)","M & F","MnFClaimCreated","2018-01-02 08:16:55.757","0.144"
"SANTAM",620897,"2018-01-02 08:16:55.587","Invoiced","ClaimMovedToInvoiced","2018-01-05","Centurion","Franchise","Pretoria","Gauteng",2006,"AUDI","AVANTI STATIONWAGON 5DR (2005/2008)","Open","Claim Not accepted","2018-01-02 08:25:34.65","1.341"
"SANTAM",620897,"2018-01-02 08:16:55.587","Invoiced","ClaimMovedToInvoiced","2018-01-05","Centurion","Franchise","Pretoria","Gauteng",2006,"AUDI","AVANTI STATIONWAGON 5DR (2005/2008)","Open","Claim Accepted","2018-01-02 09:46:00.927","0.152"
"SANTAM",620897,"2018-01-02 08:16:55.587","Invoiced","ClaimMovedToInvoiced","2018-01-05","Centurion","Franchise","Pretoria","Gauteng",2006,"AUDI","AVANTI STATIONWAGON 5DR (2005/2008)","Open","LeftSMS Or Voicemail","2018-01-02 09:55:08.44","0.061"
"SANTAM",620897,"2018-01-02 08:16:55.587","Invoiced","ClaimMovedToInvoiced","2018-01-05","Centurion","Franchise","Pretoria","Gauteng",2006,"AUDI","AVANTI STATIONWAGON 5DR (2005/2008)","Open","Communicated With Client","2018-01-02 09:58:48.017","7.02"
